epoch,lr-Adam,step,train_loss_epoch,train_loss_step,train_mae_delta,val_loss,val_mae_delta
,0.001,0,,,,,
0,,99,,3.3006324768066406,,,
0,,199,,3.0098977088928223,,,
0,,299,,3.2808644771575928,,,
0,,399,,2.7040350437164307,,,
0,,499,,3.034437656402588,,,
0,,599,,2.7959370613098145,,,
0,,699,,2.9215502738952637,,,
0,,799,,3.2477145195007324,,,
0,,899,,3.0306520462036133,,,
0,,999,,3.070403814315796,,,
0,,1099,,2.7294321060180664,,,
0,,1199,,2.9931583404541016,,,
0,,1299,,3.4917421340942383,,,
0,,1399,,5.198887348175049,,,
0,,1499,,2.429151773452759,,,
0,,1599,,2.7959296703338623,,,
0,,1699,,2.60087513923645,,,
0,,1799,,2.7018513679504395,,,
0,,1899,,2.4933242797851562,,,
0,,1953,,,,2.819453477859497,2.819453477859497
0,,1953,2.96465802192688,,2.964657783508301,,
,0.001,1954,,,,,
1,,1999,,2.4281554222106934,,,
1,,2099,,2.7401111125946045,,,
1,,2199,,2.8724308013916016,,,
1,,2299,,2.9538285732269287,,,
1,,2399,,2.4738900661468506,,,
1,,2499,,2.5926594734191895,,,
1,,2599,,2.7748913764953613,,,
1,,2699,,2.348588228225708,,,
1,,2799,,2.6290366649627686,,,
1,,2899,,2.6260645389556885,,,
1,,2999,,2.71826171875,,,
1,,3099,,2.468219757080078,,,
1,,3199,,2.5725581645965576,,,
1,,3299,,2.4868385791778564,,,
1,,3399,,2.620286226272583,,,
1,,3499,,2.390681028366089,,,
1,,3599,,2.1964128017425537,,,
1,,3699,,2.5883021354675293,,,
1,,3799,,2.5925064086914062,,,
1,,3899,,2.49519681930542,,,
1,,3907,,,,2.579437255859375,2.579437255859375
1,,3907,2.6908950805664062,,2.6908950805664062,,
,0.001,3908,,,,,
2,,3999,,2.3859381675720215,,,
2,,4099,,2.3289833068847656,,,
2,,4199,,2.8898844718933105,,,
2,,4299,,2.5015971660614014,,,
2,,4399,,2.0776607990264893,,,
2,,4499,,2.3425753116607666,,,
2,,4599,,3.472541332244873,,,
2,,4699,,2.5924482345581055,,,
2,,4799,,2.390090227127075,,,
2,,4899,,2.3099777698516846,,,
2,,4999,,2.7466089725494385,,,
2,,5099,,8.843997955322266,,,
2,,5199,,2.4331703186035156,,,
2,,5299,,2.4541690349578857,,,
2,,5399,,2.5065882205963135,,,
2,,5499,,2.286104917526245,,,
2,,5599,,2.2629542350769043,,,
2,,5699,,2.503032684326172,,,
2,,5799,,2.043987989425659,,,
2,,5861,,,,2.3595893383026123,2.3595893383026123
2,,5861,2.4418201446533203,,2.4418201446533203,,
,0.001,5862,,,,,
3,,5899,,2.373934745788574,,,
3,,5999,,2.1456375122070312,,,
3,,6099,,2.05132794380188,,,
3,,6199,,2.4834065437316895,,,
3,,6299,,2.1390879154205322,,,
3,,6399,,2.2688212394714355,,,
3,,6499,,2.342836856842041,,,
3,,6599,,2.0744822025299072,,,
3,,6699,,2.0573315620422363,,,
3,,6799,,2.2802469730377197,,,
3,,6899,,2.100625514984131,,,
3,,6999,,2.4037063121795654,,,
3,,7099,,2.0990617275238037,,,
3,,7199,,2.233330249786377,,,
3,,7299,,2.507779836654663,,,
3,,7399,,2.3375251293182373,,,
3,,7499,,1.6605912446975708,,,
3,,7599,,1.9029518365859985,,,
3,,7699,,2.470815896987915,,,
3,,7799,,2.268930196762085,,,
3,,7815,,,,2.152444362640381,2.152444362640381
3,,7815,2.2331082820892334,,2.2331085205078125,,
,0.001,7816,,,,,
4,,7899,,2.6774022579193115,,,
4,,7999,,2.1591105461120605,,,
4,,8099,,1.8185231685638428,,,
4,,8199,,2.0155622959136963,,,
4,,8299,,1.9992647171020508,,,
4,,8399,,1.8730336427688599,,,
4,,8499,,1.7984814643859863,,,
4,,8599,,1.8912535905838013,,,
4,,8699,,2.0303285121917725,,,
4,,8799,,2.1933248043060303,,,
4,,8899,,1.9267264604568481,,,
4,,8999,,1.7217012643814087,,,
4,,9099,,2.1518075466156006,,,
4,,9199,,2.251851797103882,,,
4,,9299,,2.388500690460205,,,
4,,9399,,2.0852341651916504,,,
4,,9499,,2.165332555770874,,,
4,,9599,,1.6648296117782593,,,
4,,9699,,2.14664888381958,,,
4,,9769,,,,1.9992443323135376,1.999244213104248
4,,9769,2.0617709159851074,,2.0617709159851074,,
,0.001,9770,,,,,
5,,9799,,1.93736732006073,,,
5,,9899,,1.5357648134231567,,,
5,,9999,,1.9512711763381958,,,
5,,10099,,1.7153607606887817,,,
5,,10199,,2.0574254989624023,,,
5,,10299,,1.8247716426849365,,,
5,,10399,,1.8111940622329712,,,
5,,10499,,1.790246844291687,,,
5,,10599,,1.8569607734680176,,,
5,,10699,,1.8520138263702393,,,
5,,10799,,1.8116917610168457,,,
5,,10899,,1.6808407306671143,,,
5,,10999,,2.112126350402832,,,
5,,11099,,1.640363097190857,,,
5,,11199,,1.810559630393982,,,
5,,11299,,1.6920406818389893,,,
5,,11399,,1.4688159227371216,,,
5,,11499,,1.6529158353805542,,,
5,,11599,,1.40557861328125,,,
5,,11699,,1.6498557329177856,,,
5,,11723,,,,1.8743460178375244,1.8743460178375244
5,,11723,1.9194999933242798,,1.9194997549057007,,
,0.001,11724,,,,,
6,,11799,,2.130223274230957,,,
6,,11899,,1.9553232192993164,,,
6,,11999,,1.5500843524932861,,,
6,,12099,,1.6613695621490479,,,
6,,12199,,1.732707142829895,,,
6,,12299,,1.707549810409546,,,
6,,12399,,2.0796077251434326,,,
6,,12499,,1.6101490259170532,,,
6,,12599,,2.007981061935425,,,
6,,12699,,1.983110785484314,,,
6,,12799,,1.358748197555542,,,
6,,12899,,1.9648997783660889,,,
6,,12999,,1.4980428218841553,,,
6,,13099,,1.7956106662750244,,,
6,,13199,,1.379276990890503,,,
6,,13299,,1.4723711013793945,,,
6,,13399,,1.6575373411178589,,,
6,,13499,,1.9058181047439575,,,
6,,13599,,1.8411577939987183,,,
6,,13677,,,,1.7523725032806396,1.7523722648620605
6,,13677,1.7968080043792725,,1.7968080043792725,,
,0.001,13678,,,,,
7,,13699,,1.8734350204467773,,,
7,,13799,,1.631105661392212,,,
7,,13899,,1.5749129056930542,,,
7,,13999,,1.5411580801010132,,,
7,,14099,,1.6116825342178345,,,
7,,14199,,1.7631756067276,,,
7,,14299,,1.5316349267959595,,,
7,,14399,,1.4409042596817017,,,
7,,14499,,1.4429713487625122,,,
7,,14599,,1.6483039855957031,,,
7,,14699,,1.5202836990356445,,,
7,,14799,,1.8149020671844482,,,
7,,14899,,1.429215669631958,,,
7,,14999,,1.5152077674865723,,,
7,,15099,,1.7460994720458984,,,
7,,15199,,1.6878142356872559,,,
7,,15299,,1.5533725023269653,,,
7,,15399,,1.7248027324676514,,,
7,,15499,,1.6508896350860596,,,
7,,15599,,1.5752735137939453,,,
7,,15631,,,,1.6534976959228516,1.653497576713562
7,,15631,1.6881604194641113,,1.6881603002548218,,
,0.001,15632,,,,,
8,,15699,,1.6976345777511597,,,
8,,15799,,1.8812000751495361,,,
8,,15899,,1.8409265279769897,,,
8,,15999,,1.5639370679855347,,,
8,,16099,,1.7245056629180908,,,
8,,16199,,1.9065613746643066,,,
8,,16299,,1.4716510772705078,,,
8,,16399,,2.284731149673462,,,
8,,16499,,1.4633643627166748,,,
8,,16599,,1.3196791410446167,,,
8,,16699,,1.3085287809371948,,,
8,,16799,,1.4839367866516113,,,
8,,16899,,1.6686903238296509,,,
8,,16999,,1.1223773956298828,,,
8,,17099,,1.5022740364074707,,,
8,,17199,,1.6470245122909546,,,
8,,17299,,1.5579532384872437,,,
8,,17399,,1.5775238275527954,,,
8,,17499,,1.6201324462890625,,,
8,,17585,,,,1.6158478260040283,1.6158478260040283
8,,17585,1.5911540985107422,,1.5911540985107422,,
,0.001,17586,,,,,
9,,17599,,1.4792745113372803,,,
9,,17699,,1.6177626848220825,,,
9,,17799,,1.4878182411193848,,,
9,,17899,,1.2906434535980225,,,
9,,17999,,1.156008243560791,,,
9,,18099,,1.090846300125122,,,
9,,18199,,1.5484598875045776,,,
9,,18299,,1.2773551940917969,,,
9,,18399,,1.3425357341766357,,,
9,,18499,,1.2788498401641846,,,
9,,18599,,1.638316035270691,,,
9,,18699,,1.5018035173416138,,,
9,,18799,,1.2543946504592896,,,
9,,18899,,1.2608847618103027,,,
9,,18999,,1.8115178346633911,,,
9,,19099,,1.6399097442626953,,,
9,,19199,,1.6679646968841553,,,
9,,19299,,1.6130648851394653,,,
9,,19399,,1.3915939331054688,,,
9,,19499,,1.3486213684082031,,,
9,,19539,,,,1.4769980907440186,1.4769980907440186
9,,19539,1.5058748722076416,,1.5058749914169312,,
,0.001,19540,,,,,
10,,19599,,1.3495694398880005,,,
10,,19699,,1.501172423362732,,,
10,,19799,,1.0862183570861816,,,
10,,19899,,1.1887167692184448,,,
10,,19999,,1.285071849822998,,,
10,,20099,,1.2479437589645386,,,
10,,20199,,1.3697562217712402,,,
10,,20299,,1.1453191041946411,,,
10,,20399,,1.2767386436462402,,,
10,,20499,,1.5051765441894531,,,
10,,20599,,1.4403419494628906,,,
10,,20699,,1.423649787902832,,,
10,,20799,,1.693581223487854,,,
10,,20899,,1.3594903945922852,,,
10,,20999,,1.4028267860412598,,,
10,,21099,,1.0422089099884033,,,
10,,21199,,1.3519927263259888,,,
10,,21299,,1.2450059652328491,,,
10,,21399,,1.4109830856323242,,,
10,,21493,,,,1.4008463621139526,1.4008463621139526
10,,21493,1.4295058250427246,,1.4295058250427246,,
,0.001,21494,,,,,
11,,21499,,1.2361191511154175,,,
11,,21599,,1.055899739265442,,,
11,,21699,,1.3782296180725098,,,
11,,21799,,1.2063425779342651,,,
11,,21899,,1.35736882686615,,,
11,,21999,,0.9233120083808899,,,
11,,22099,,1.0915015935897827,,,
11,,22199,,2.408052444458008,,,
11,,22299,,1.4384171962738037,,,
11,,22399,,1.5668549537658691,,,
11,,22499,,1.5225034952163696,,,
11,,22599,,1.4882638454437256,,,
11,,22699,,1.4046951532363892,,,
11,,22799,,1.0812093019485474,,,
11,,22899,,1.231236457824707,,,
11,,22999,,1.1280994415283203,,,
11,,23099,,1.3060417175292969,,,
11,,23199,,1.3024888038635254,,,
11,,23299,,1.6973072290420532,,,
11,,23399,,1.331299066543579,,,
11,,23447,,,,1.3499878644943237,1.3499878644943237
11,,23447,1.359376072883606,,1.3593761920928955,,
,0.001,23448,,,,,
12,,23499,,1.171177864074707,,,
12,,23599,,0.9131550192832947,,,
12,,23699,,1.1699857711791992,,,
12,,23799,,0.8614000678062439,,,
12,,23899,,1.4131873846054077,,,
12,,23999,,1.1295902729034424,,,
12,,24099,,1.5033304691314697,,,
12,,24199,,1.0649172067642212,,,
12,,24299,,1.2306262254714966,,,
12,,24399,,1.2223159074783325,,,
12,,24499,,0.925626814365387,,,
12,,24599,,1.1561416387557983,,,
12,,24699,,1.5024545192718506,,,
12,,24799,,1.2789101600646973,,,
12,,24899,,1.6733410358428955,,,
12,,24999,,0.9905036687850952,,,
12,,25099,,1.263777494430542,,,
12,,25199,,1.401469349861145,,,
12,,25299,,1.1799335479736328,,,
12,,25399,,1.1678190231323242,,,
12,,25401,,,,1.2813166379928589,1.2813166379928589
12,,25401,1.2968121767044067,,1.2968121767044067,,
,0.001,25402,,,,,
13,,25499,,1.2513176202774048,,,
13,,25599,,1.5659607648849487,,,
13,,25699,,1.3227589130401611,,,
13,,25799,,1.3101938962936401,,,
13,,25899,,1.4067054986953735,,,
13,,25999,,1.1573830842971802,,,
13,,26099,,1.0581910610198975,,,
13,,26199,,1.214193344116211,,,
13,,26299,,1.4636489152908325,,,
13,,26399,,1.2030491828918457,,,
13,,26499,,9.893613815307617,,,
13,,26599,,0.9114222526550293,,,
13,,26699,,1.3815035820007324,,,
13,,26799,,1.2868151664733887,,,
13,,26899,,1.1466888189315796,,,
13,,26999,,1.0045334100723267,,,
13,,27099,,1.0474021434783936,,,
13,,27199,,1.297437071800232,,,
13,,27299,,1.155820369720459,,,
13,,27355,,,,1.2199128866195679,1.2199128866195679
13,,27355,1.240958333015442,,1.240958333015442,,
,0.001,27356,,,,,
14,,27399,,0.9898455739021301,,,
14,,27499,,1.2255977392196655,,,
14,,27599,,1.1296510696411133,,,
14,,27699,,1.3743867874145508,,,
14,,27799,,1.0977849960327148,,,
14,,27899,,1.1405185461044312,,,
14,,27999,,1.2614178657531738,,,
14,,28099,,0.9666866660118103,,,
14,,28199,,1.3026995658874512,,,
14,,28299,,1.250935673713684,,,
14,,28399,,0.8783935308456421,,,
14,,28499,,1.0034109354019165,,,
14,,28599,,1.4277814626693726,,,
14,,28699,,1.232856273651123,,,
14,,28799,,0.9065021276473999,,,
14,,28899,,1.0490846633911133,,,
14,,28999,,1.1561554670333862,,,
14,,29099,,0.9101037979125977,,,
14,,29199,,0.8298859000205994,,,
14,,29299,,1.0093709230422974,,,
14,,29309,,,,1.1725950241088867,1.1725950241088867
14,,29309,1.1904352903366089,,1.1904352903366089,,
,0.001,29310,,,,,
15,,29399,,1.5178769826889038,,,
15,,29499,,0.9628278613090515,,,
15,,29599,,1.042519211769104,,,
15,,29699,,0.9999947547912598,,,
15,,29799,,1.2016022205352783,,,
15,,29899,,1.0164988040924072,,,
15,,29999,,1.1483776569366455,,,
15,,30099,,1.0458821058273315,,,
15,,30199,,1.1319741010665894,,,
15,,30299,,1.010772705078125,,,
15,,30399,,1.095334768295288,,,
15,,30499,,0.9538213610649109,,,
15,,30599,,1.0241611003875732,,,
15,,30699,,1.2287160158157349,,,
15,,30799,,0.9999977350234985,,,
15,,30899,,1.0407047271728516,,,
15,,30999,,1.0649278163909912,,,
15,,31099,,0.8248169422149658,,,
15,,31199,,1.17205810546875,,,
15,,31263,,,,1.1295039653778076,1.1295040845870972
15,,31263,1.144052267074585,,1.144052267074585,,
,0.001,31264,,,,,
16,,31299,,1.1778886318206787,,,
16,,31399,,0.8094744682312012,,,
16,,31499,,0.875080943107605,,,
16,,31599,,0.7170119285583496,,,
16,,31699,,1.0194711685180664,,,
16,,31799,,0.7104129791259766,,,
16,,31899,,1.1286957263946533,,,
16,,31999,,1.0198962688446045,,,
16,,32099,,1.001592755317688,,,
16,,32199,,2.1926774978637695,,,
16,,32299,,1.2126946449279785,,,
16,,32399,,1.204073190689087,,,
16,,32499,,1.0000433921813965,,,
16,,32599,,1.2722547054290771,,,
16,,32699,,1.1414010524749756,,,
16,,32799,,1.2370364665985107,,,
16,,32899,,0.8095651865005493,,,
16,,32999,,0.9082844853401184,,,
16,,33099,,0.9148260354995728,,,
16,,33199,,0.8426370620727539,,,
16,,33217,,,,1.128044605255127,1.128044605255127
16,,33217,1.10062575340271,,1.10062575340271,,
,0.001,33218,,,,,
17,,33299,,0.8129915595054626,,,
17,,33399,,0.9186952114105225,,,
17,,33499,,1.0719060897827148,,,
17,,33599,,1.236853837966919,,,
17,,33699,,1.2467056512832642,,,
17,,33799,,1.0284005403518677,,,
17,,33899,,1.1164233684539795,,,
17,,33999,,0.8462516665458679,,,
17,,34099,,1.2929424047470093,,,
17,,34199,,1.2179735898971558,,,
17,,34299,,1.4500961303710938,,,
17,,34399,,1.1303577423095703,,,
17,,34499,,1.3382799625396729,,,
17,,34599,,0.9155194163322449,,,
17,,34699,,0.9254387617111206,,,
17,,34799,,1.26625394821167,,,
17,,34899,,0.9922498464584351,,,
17,,34999,,1.1999843120574951,,,
17,,35099,,0.8253628611564636,,,
17,,35171,,,,1.066864013671875,1.066864013671875
17,,35171,1.0639305114746094,,1.0639305114746094,,
,0.001,35172,,,,,
18,,35199,,1.0824291706085205,,,
18,,35299,,0.7964078187942505,,,
18,,35399,,0.9087100028991699,,,
18,,35499,,1.1810572147369385,,,
18,,35599,,1.003692626953125,,,
18,,35699,,0.8836556673049927,,,
18,,35799,,1.1841360330581665,,,
18,,35899,,0.8086436986923218,,,
18,,35999,,0.7665035724639893,,,
18,,36099,,1.0658886432647705,,,
18,,36199,,1.140105962753296,,,
18,,36299,,1.2323817014694214,,,
18,,36399,,1.2271829843521118,,,
18,,36499,,1.0746971368789673,,,
18,,36599,,1.0469074249267578,,,
18,,36699,,1.2934836149215698,,,
18,,36799,,0.9462671875953674,,,
18,,36899,,1.1512916088104248,,,
18,,36999,,1.0756911039352417,,,
18,,37099,,0.8511300683021545,,,
18,,37125,,,,1.0332651138305664,1.0332651138305664
18,,37125,1.030118703842163,,1.030118703842163,,
,0.001,37126,,,,,
19,,37199,,1.0175981521606445,,,
19,,37299,,1.1031463146209717,,,
19,,37399,,0.9572150111198425,,,
19,,37499,,1.3632314205169678,,,
19,,37599,,1.227310061454773,,,
19,,37699,,0.9500800371170044,,,
19,,37799,,0.7651991248130798,,,
19,,37899,,1.1863685846328735,,,
19,,37999,,0.679848849773407,,,
19,,38099,,1.0511573553085327,,,
19,,38199,,0.8878227472305298,,,
19,,38299,,1.4685227870941162,,,
19,,38399,,0.9290655851364136,,,
19,,38499,,0.8606098294258118,,,
19,,38599,,0.7598578929901123,,,
19,,38699,,0.84982830286026,,,
19,,38799,,0.936683177947998,,,
19,,38899,,1.0723936557769775,,,
19,,38999,,0.7916526198387146,,,
19,,39079,,,,0.9895142912864685,0.9895142912864685
19,,39079,0.9982690811157227,,0.9982690811157227,,
,0.001,39080,,,,,
20,,39099,,0.8317219018936157,,,
20,,39199,,0.8319252729415894,,,
20,,39299,,1.050351858139038,,,
20,,39399,,0.9180142283439636,,,
20,,39499,,1.060064673423767,,,
20,,39599,,0.8634673953056335,,,
20,,39699,,0.658559262752533,,,
20,,39799,,1.0043386220932007,,,
20,,39899,,2.183847665786743,,,
20,,39999,,1.0209749937057495,,,
20,,40099,,1.0038647651672363,,,
20,,40199,,0.764634907245636,,,
20,,40299,,0.7618628740310669,,,
20,,40399,,0.6056349873542786,,,
20,,40499,,0.9440268874168396,,,
20,,40599,,1.0299776792526245,,,
20,,40699,,0.6513606905937195,,,
20,,40799,,0.767103910446167,,,
20,,40899,,0.8075858950614929,,,
20,,40999,,1.1098591089248657,,,
20,,41033,,,,0.9624395966529846,0.9624395966529846
20,,41033,0.9700098037719727,,0.9700096845626831,,
,0.001,41034,,,,,
21,,41099,,0.7882692813873291,,,
21,,41199,,0.7709180116653442,,,
21,,41299,,0.5657429099082947,,,
21,,41399,,0.8207278847694397,,,
21,,41499,,0.8975571393966675,,,
21,,41599,,1.1457135677337646,,,
21,,41699,,0.766402542591095,,,
21,,41799,,0.7878648638725281,,,
21,,41899,,1.1423211097717285,,,
21,,41999,,0.7247086763381958,,,
21,,42099,,0.9335045218467712,,,
21,,42199,,0.9620059728622437,,,
21,,42299,,0.9195175766944885,,,
21,,42399,,1.0061135292053223,,,
21,,42499,,0.8906745314598083,,,
21,,42599,,0.822523832321167,,,
21,,42699,,1.1112807989120483,,,
21,,42799,,1.0254685878753662,,,
21,,42899,,0.9021180868148804,,,
21,,42987,,,,0.9679388403892517,0.9679388403892517
21,,42987,0.9428694844245911,,0.9428695440292358,,
,0.001,42988,,,,,
22,,42999,,1.003014087677002,,,
22,,43099,,0.9090744853019714,,,
22,,43199,,0.9126567840576172,,,
22,,43299,,0.7801409363746643,,,
22,,43399,,0.8904621005058289,,,
22,,43499,,0.9189325571060181,,,
22,,43599,,0.908166766166687,,,
22,,43699,,0.5862188935279846,,,
22,,43799,,0.9292387366294861,,,
22,,43899,,0.7352179884910583,,,
22,,43999,,0.687507152557373,,,
22,,44099,,0.7704076170921326,,,
22,,44199,,0.8882353901863098,,,
22,,44299,,1.0623639822006226,,,
22,,44399,,1.2238765954971313,,,
22,,44499,,1.140979290008545,,,
22,,44599,,0.9711723327636719,,,
22,,44699,,0.9640418291091919,,,
22,,44799,,0.7070393562316895,,,
22,,44899,,0.6083588600158691,,,
22,,44941,,,,0.9374781250953674,0.9374781250953674
22,,44941,0.9197074174880981,,0.9197074174880981,,
,0.001,44942,,,,,
23,,44999,,0.8677260279655457,,,
23,,45099,,0.4503597319126129,,,
23,,45199,,0.7724130749702454,,,
23,,45299,,0.805936872959137,,,
23,,45399,,1.066353440284729,,,
23,,45499,,0.9329996109008789,,,
23,,45599,,2.9566919803619385,,,
23,,45699,,0.8385391235351562,,,
23,,45799,,0.8646813631057739,,,
23,,45899,,0.9558832049369812,,,
23,,45999,,0.7371774911880493,,,
23,,46099,,0.7987921833992004,,,
23,,46199,,0.8349881172180176,,,
23,,46299,,1.0705918073654175,,,
23,,46399,,1.052125334739685,,,
23,,46499,,1.0951586961746216,,,
23,,46599,,2.11639142036438,,,
23,,46699,,0.8369929194450378,,,
23,,46799,,0.911435067653656,,,
23,,46895,,,,0.8917713761329651,0.8917713761329651
23,,46895,0.8977864384651184,,0.8977864980697632,,
,0.001,46896,,,,,
24,,46899,,1.26273775100708,,,
24,,46999,,0.89215487241745,,,
24,,47099,,1.007874846458435,,,
24,,47199,,0.8027646541595459,,,
24,,47299,,1.1141302585601807,,,
24,,47399,,0.7277365326881409,,,
24,,47499,,0.8205605149269104,,,
24,,47599,,0.7176910042762756,,,
24,,47699,,0.5891810655593872,,,
24,,47799,,0.6525051593780518,,,
24,,47899,,0.6070486307144165,,,
24,,47999,,0.679927408695221,,,
24,,48099,,0.7038537263870239,,,
24,,48199,,0.6472949385643005,,,
24,,48299,,1.1572719812393188,,,
24,,48399,,0.682772696018219,,,
24,,48499,,0.8001574277877808,,,
24,,48599,,0.8608670830726624,,,
24,,48699,,0.757129430770874,,,
24,,48799,,0.8100734353065491,,,
24,,48849,,,,0.922111988067627,0.922111988067627
24,,48849,0.8778240084648132,,0.8778240084648132,,
,0.001,48850,,,,,
25,,48899,,1.0883654356002808,,,
25,,48999,,0.8828453421592712,,,
25,,49099,,0.7027694582939148,,,
25,,49199,,0.554434061050415,,,
25,,49299,,0.927476167678833,,,
25,,49399,,0.8088255524635315,,,
25,,49499,,0.9047650098800659,,,
25,,49599,,0.6460123062133789,,,
25,,49699,,0.7398488521575928,,,
25,,49799,,0.7693118453025818,,,
25,,49899,,0.6315959692001343,,,
25,,49999,,0.7904684543609619,,,
25,,50099,,1.2453824281692505,,,
25,,50199,,0.5669444799423218,,,
25,,50299,,1.0846436023712158,,,
25,,50399,,0.711627185344696,,,
25,,50499,,0.6631708741188049,,,
25,,50599,,0.7965057492256165,,,
25,,50699,,0.6394592523574829,,,
25,,50799,,0.5881576538085938,,,
25,,50803,,,,0.8706609010696411,0.8706609606742859
25,,50803,0.8577747344970703,,0.8577747344970703,,
,0.001,50804,,,,,
26,,50899,,1.253821849822998,,,
26,,50999,,0.7381192445755005,,,
26,,51099,,0.799176812171936,,,
26,,51199,,0.9398120045661926,,,
26,,51299,,0.7761186361312866,,,
26,,51399,,0.8325903415679932,,,
26,,51499,,0.6655867695808411,,,
26,,51599,,0.7469468116760254,,,
26,,51699,,0.7088648676872253,,,
26,,51799,,0.5936158895492554,,,
26,,51899,,0.6037615537643433,,,
26,,51999,,0.6949660181999207,,,
26,,52099,,0.779507040977478,,,
26,,52199,,1.0727360248565674,,,
26,,52299,,0.7081490755081177,,,
26,,52399,,0.8013194799423218,,,
26,,52499,,0.7395419478416443,,,
26,,52599,,1.0278451442718506,,,
26,,52699,,0.8636156916618347,,,
26,,52757,,,,0.8491412997245789,0.8491412997245789
26,,52757,0.8420507907867432,,0.8420507311820984,,
,0.001,52758,,,,,
27,,52799,,0.964905321598053,,,
27,,52899,,0.7456409335136414,,,
27,,52999,,0.8658275604248047,,,
27,,53099,,0.6630088090896606,,,
27,,53199,,0.7338859438896179,,,
27,,53299,,0.6635485291481018,,,
27,,53399,,0.9650195240974426,,,
27,,53499,,0.8209917545318604,,,
27,,53599,,0.822226881980896,,,
27,,53699,,0.5474314093589783,,,
27,,53799,,0.6950910687446594,,,
27,,53899,,0.7751786708831787,,,
27,,53999,,0.6101244688034058,,,
27,,54099,,0.5491902828216553,,,
27,,54199,,0.8232937455177307,,,
27,,54299,,0.5567604899406433,,,
27,,54399,,0.6077552437782288,,,
27,,54499,,0.7222769856452942,,,
27,,54599,,0.8221426010131836,,,
27,,54699,,0.6667612195014954,,,
27,,54711,,,,0.8561568260192871,0.8561568856239319
27,,54711,0.8267702460289001,,0.8267703056335449,,
,0.001,54712,,,,,
28,,54799,,0.8687015175819397,,,
28,,54899,,0.5964583158493042,,,
28,,54999,,0.9783053994178772,,,
28,,55099,,0.7663515210151672,,,
28,,55199,,1.0019984245300293,,,
28,,55299,,0.6383748054504395,,,
28,,55399,,0.736587405204773,,,
28,,55499,,0.6858595609664917,,,
28,,55599,,0.8758898377418518,,,
28,,55699,,0.7718464136123657,,,
28,,55799,,1.0083823204040527,,,
28,,55899,,0.7261618375778198,,,
28,,55999,,0.9405176043510437,,,
28,,56099,,0.5640286803245544,,,
28,,56199,,0.9917224645614624,,,
28,,56299,,0.634387731552124,,,
28,,56399,,0.7553464770317078,,,
28,,56499,,0.6176223158836365,,,
28,,56599,,0.5726073384284973,,,
28,,56665,,,,0.8101811408996582,0.8101811408996582
28,,56665,0.8091417551040649,,0.8091417551040649,,
,0.001,56666,,,,,
29,,56699,,0.8361434936523438,,,
29,,56799,,0.6388779878616333,,,
29,,56899,,0.6467655897140503,,,
29,,56999,,1.0677828788757324,,,
29,,57099,,0.8702927231788635,,,
