model,id_one_step_mae,id_k1_mae,id_k5_mae,id_k10_mae,id_k30_mae,id_rollout_rmse,id_rollout_nrmse,id_divergence_rate,id_true_invalid_rate,id_pred_invalid_rate,ood_one_step_mae,ood_k1_mae,ood_k5_mae,ood_k10_mae,ood_k30_mae,ood_rollout_rmse,ood_rollout_nrmse,ood_divergence_rate,ood_true_invalid_rate,ood_pred_invalid_rate,id_fixed_points_mean,ood_fixed_points_mean,id_fixed_points_std,ood_fixed_points_std
original,0.05140772437603361,7.116728920272505,7.257144676034712,7.428826598135532,8.16643501077491,13.400878735572038,0.8206633584043991,0.0,0.0,0.0,2.6705359646472426,15.465759960244016,14.971750309134823,13.842669359742398,15.043743591522196,24.230186987798934,1.7598116220124806,0.0,0.0375,0.0,0.027777777777777776,4.583333333333333,0.16433554953054488,9.148087231765993
target_normalized,0.032009804885201554,5.4401859410718965,5.547191994236392,5.6784091409996575,6.227558584135944,12.794483628683308,0.7835280141662395,0.0,0.0,0.0,2.47562089278474,11.133803039823816,10.585955160601708,9.369679698552133,10.17706335703588,17.211545875849758,1.2500554981426022,0.0,0.0375,0.0,0.0,0.0,0.0,0.0
manuscript,0.025696250865631366,1.621703706999957,1.6386850924472187,1.6702466235882076,1.7989962916902584,4.833867328174624,0.2960237066462605,0.0,0.0,0.0,2.523058326060688,6.500418812488317,5.494154089555123,4.018247322166548,4.3726931068755865,9.42307789784837,0.6843877023364597,0.0,0.0375,0.0,2.638888888888889,0.0,4.595606463289921,0.0
